// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Projects\study\Presentation\DotnetSeven\dotnet7csharp11\Demo\ProjectDemos\Dotnet7Benchmark\bin\release\net7.0\d01bfd7f-02a5-4b27-b4fb-52ddb183886b
// command took 1.12s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Projects\study\Presentation\DotnetSeven\dotnet7csharp11\Demo\ProjectDemos\Dotnet7Benchmark\bin\release\net7.0\d01bfd7f-02a5-4b27-b4fb-52ddb183886b
// command took 13.71s and exited with 1
// start dotnet  build -c Release --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Projects\study\Presentation\DotnetSeven\dotnet7csharp11\Demo\ProjectDemos\Dotnet7Benchmark\bin\release\net7.0\d01bfd7f-02a5-4b27-b4fb-52ddb183886b
// command took 2.84s and exited with 0
// ***** Done, took 00:00:17 (17.74 sec)   *****
// Found 2 benchmarks:
//   StopwatchBenchmark.OldStopwatch: DefaultJob
//   StopwatchBenchmark.NewStopwatch: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: StopwatchBenchmark.OldStopwatch: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet d01bfd7f-02a5-4b27-b4fb-52ddb183886b.dll --benchmarkName Dotnet7Benchmark.StopwatchBenchmark.OldStopwatch --job Default --benchmarkId 0 in C:\Projects\study\Presentation\DotnetSeven\dotnet7csharp11\Demo\ProjectDemos\Dotnet7Benchmark\bin\release\net7.0\d01bfd7f-02a5-4b27-b4fb-52ddb183886b\bin\Release\net7.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 7.0.0 (7.0.22.51805), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 283000.00 ns, 283.0000 us/op
WorkloadJitting  1: 1 op, 427100.00 ns, 427.1000 us/op

OverheadJitting  2: 16 op, 224100.00 ns, 14.0062 us/op
WorkloadJitting  2: 16 op, 325600.00 ns, 20.3500 us/op

WorkloadPilot    1: 16 op, 3400.00 ns, 212.5000 ns/op
WorkloadPilot    2: 32 op, 3600.00 ns, 112.5000 ns/op
WorkloadPilot    3: 64 op, 5400.00 ns, 84.3750 ns/op
WorkloadPilot    4: 128 op, 6200.00 ns, 48.4375 ns/op
WorkloadPilot    5: 256 op, 28800.00 ns, 112.5000 ns/op
WorkloadPilot    6: 512 op, 25800.00 ns, 50.3906 ns/op
WorkloadPilot    7: 1024 op, 41700.00 ns, 40.7227 ns/op
WorkloadPilot    8: 2048 op, 91200.00 ns, 44.5312 ns/op
WorkloadPilot    9: 4096 op, 158100.00 ns, 38.5986 ns/op
WorkloadPilot   10: 8192 op, 435100.00 ns, 53.1128 ns/op
WorkloadPilot   11: 16384 op, 840500.00 ns, 51.3000 ns/op
WorkloadPilot   12: 32768 op, 1415900.00 ns, 43.2098 ns/op
WorkloadPilot   13: 65536 op, 2837500.00 ns, 43.2968 ns/op
WorkloadPilot   14: 131072 op, 5942700.00 ns, 45.3392 ns/op
WorkloadPilot   15: 262144 op, 11714900.00 ns, 44.6888 ns/op
WorkloadPilot   16: 524288 op, 21912700.00 ns, 41.7952 ns/op
WorkloadPilot   17: 1048576 op, 45214200.00 ns, 43.1196 ns/op
WorkloadPilot   18: 2097152 op, 88616800.00 ns, 42.2558 ns/op
WorkloadPilot   19: 4194304 op, 154854000.00 ns, 36.9201 ns/op
WorkloadPilot   20: 8388608 op, 333850300.00 ns, 39.7981 ns/op
WorkloadPilot   21: 16777216 op, 636511900.00 ns, 37.9391 ns/op

OverheadWarmup   1: 16777216 op, 33606800.00 ns, 2.0031 ns/op
OverheadWarmup   2: 16777216 op, 33269400.00 ns, 1.9830 ns/op
OverheadWarmup   3: 16777216 op, 33941800.00 ns, 2.0231 ns/op
OverheadWarmup   4: 16777216 op, 34262800.00 ns, 2.0422 ns/op
OverheadWarmup   5: 16777216 op, 33995800.00 ns, 2.0263 ns/op
OverheadWarmup   6: 16777216 op, 35773300.00 ns, 2.1323 ns/op
OverheadWarmup   7: 16777216 op, 34163200.00 ns, 2.0363 ns/op

OverheadActual   1: 16777216 op, 33840700.00 ns, 2.0171 ns/op
OverheadActual   2: 16777216 op, 34181200.00 ns, 2.0374 ns/op
